county_name,reported_value,exclusion_reason
DADE,NA,USDA value missing or suppressed
FLOYD,NA,USDA value missing or suppressed
MURRAY,NA,USDA value missing or suppressed
PAULDING,NA,USDA value missing or suppressed
BARROW,NA,USDA value missing or suppressed
CLARKE,NA,USDA value missing or suppressed
COBB,NA,USDA value missing or suppressed
DE KALB,NA,USDA value missing or suppressed
GWINNETT,NA,USDA value missing or suppressed
JACKSON,NA,USDA value missing or suppressed
LUMPKIN,NA,USDA value missing or suppressed
OCONEE,NA,USDA value missing or suppressed
PICKENS,NA,USDA value missing or suppressed
UNION,NA,USDA value missing or suppressed
WHITE,NA,USDA value missing or suppressed
ELBERT,NA,USDA value missing or suppressed
FRANKLIN,NA,USDA value missing or suppressed
HABERSHAM,NA,USDA value missing or suppressed
HART,NA,USDA value missing or suppressed
LINCOLN,NA,USDA value missing or suppressed
RABUN,NA,USDA value missing or suppressed
WILKES,NA,USDA value missing or suppressed
CHATTAHOOCHEE,NA,USDA value missing or suppressed
CLAYTON,NA,USDA value missing or suppressed
DOUGLAS,NA,USDA value missing or suppressed
HARALSON,NA,USDA value missing or suppressed
HEARD,NA,USDA value missing or suppressed
LAMAR,NA,USDA value missing or suppressed
MUSCOGEE,NA,USDA value missing or suppressed
PIKE,NA,USDA value missing or suppressed
TALBOT,NA,USDA value missing or suppressed
TAYLOR,NA,USDA value missing or suppressed
UPSON,NA,USDA value missing or suppressed
BALDWIN,NA,USDA value missing or suppressed
BIBB,NA,USDA value missing or suppressed
BLECKLEY,NA,USDA value missing or suppressed
BUTTS,NA,USDA value missing or suppressed
GREENE,NA,USDA value missing or suppressed
HOUSTON,NA,USDA value missing or suppressed
JASPER,NA,USDA value missing or suppressed
JOHNSON,NA,USDA value missing or suppressed
MONROE,NA,USDA value missing or suppressed
MONTGOMERY,NA,USDA value missing or suppressed
MORGAN,NA,USDA value missing or suppressed
NEWTON,NA,USDA value missing or suppressed
PEACH,NA,USDA value missing or suppressed
PULASKI,NA,USDA value missing or suppressed
TALIAFERRO,NA,USDA value missing or suppressed
TREUTLEN,NA,USDA value missing or suppressed
WILKINSON,NA,USDA value missing or suppressed
BULLOCH,NA,USDA value missing or suppressed
BURKE,NA,USDA value missing or suppressed
JENKINS,NA,USDA value missing or suppressed
MCDUFFIE,NA,USDA value missing or suppressed
SCREVEN,NA,USDA value missing or suppressed
BAKER,NA,USDA value missing or suppressed
EARLY,NA,USDA value missing or suppressed
GRADY,NA,USDA value missing or suppressed
MILLER,NA,USDA value missing or suppressed
MITCHELL,NA,USDA value missing or suppressed
TERRELL,NA,USDA value missing or suppressed
WEBSTER,NA,USDA value missing or suppressed
BEN HILL,NA,USDA value missing or suppressed
BERRIEN,NA,USDA value missing or suppressed
BROOKS,NA,USDA value missing or suppressed
DOOLY,NA,USDA value missing or suppressed
IRWIN,NA,USDA value missing or suppressed
LANIER,NA,USDA value missing or suppressed
LOWNDES,NA,USDA value missing or suppressed
TIFT,NA,USDA value missing or suppressed
TURNER,NA,USDA value missing or suppressed
WORTH,NA,USDA value missing or suppressed
BRANTLEY,NA,USDA value missing or suppressed
CHARLTON,NA,USDA value missing or suppressed
MCINTOSH,NA,USDA value missing or suppressed
TATTNALL,NA,USDA value missing or suppressed
TOOMBS,NA,USDA value missing or suppressed
