STATEFP,COUNTYFP,COUNTYNS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,county_name
13,189,00348794,13189,0500000US13189,McDuffie,McDuffie County,06,H1,G4020,NA,12260,NA,A,666608438,23095606,+33.4806102,-082.4795718,MCDUFFIE
13,025,00351605,13025,0500000US13025,Brantley,Brantley County,06,H1,G4020,NA,15260,NA,A,1147972265,10291548,+31.1973339,-081.9829779,BRANTLEY
13,171,00326713,13171,0500000US13171,Lamar,Lamar County,06,H1,G4020,NA,NA,NA,A,475264402,6044329,+33.0744405,-084.1466893,LAMAR
13,115,00353665,13115,0500000US13115,Floyd,Floyd County,06,H1,G4020,122,40660,NA,A,1320461793,22356808,+34.2636901,-085.2136849,FLOYD
13,273,00352238,13273,0500000US13273,Terrell,Terrell County,06,H1,G4020,NA,10500,NA,A,869695790,4951325,+31.7771909,-084.4394464,TERRELL
13,063,01672399,13063,0500000US13063,Clayton,Clayton County,06,H1,G4020,122,12060,12054,A,367009134,6914194,+33.5522420,-084.4129728,CLAYTON
13,193,00346957,13193,0500000US13193,Macon,Macon County,06,H1,G4020,NA,NA,NA,A,1037709939,13841916,+32.3626859,-084.0512306,MACON
13,049,00357747,13049,0500000US13049,Charlton,Charlton County,06,H1,G4020,NA,NA,NA,A,2020415649,5963237,+30.7799036,-082.1396442,CHARLTON
13,233,00343585,13233,0500000US13233,Polk,Polk County,06,H1,G4020,122,16340,NA,A,803776466,4663881,+33.9960153,-085.1883384,POLK
13,089,01687424,13089,0500000US13089,DeKalb,DeKalb County,06,H1,G4020,122,12060,12054,A,693251647,8848778,+33.7706611,-084.2263432,DEKALB
13,227,01673011,13227,0500000US13227,Pickens,Pickens County,06,H1,G4020,122,12060,12054,A,601019205,1690669,+34.4567558,-084.4903656,PICKENS
13,119,00349324,13119,0500000US13119,Franklin,Franklin County,06,H1,G4020,NA,NA,NA,A,676873326,12752557,+34.3752657,-083.2275325,FRANKLIN
13,265,00347654,13265,0500000US13265,Taliaferro,Taliaferro County,06,H1,G4020,NA,NA,NA,A,504029144,1917633,+33.5593190,-082.8752721,TALIAFERRO
13,279,00345220,13279,0500000US13279,Toombs,Toombs County,06,H1,G4020,NA,47080,NA,A,942794614,18070371,+32.1177534,-082.3305967,TOOMBS
13,181,01688000,13181,0500000US13181,Lincoln,Lincoln County,06,H1,G4020,NA,12260,NA,A,544884775,121513274,+33.7921507,-082.4482992,LINCOLN
13,251,00350204,13251,0500000US13251,Screven,Screven County,06,H1,G4020,NA,NA,NA,A,1672668619,26023811,+32.7447512,-081.6175849,SCREVEN
13,147,01687995,13147,0500000US13147,Hart,Hart County,06,H1,G4020,NA,NA,NA,A,601970607,63521436,+34.3487328,-082.9632900,HART
13,293,00346759,13293,0500000US13293,Upson,Upson County,06,H1,G4020,122,45580,NA,A,837774877,10585407,+32.8818367,-084.2922831,UPSON
13,013,00356976,13013,0500000US13013,Barrow,Barrow County,06,H1,G4020,122,12060,12054,A,417122366,4870098,+33.9920094,-083.7123025,BARROW
13,223,00349912,13223,0500000US13223,Paulding,Paulding County,06,H1,G4020,122,12060,31924,A,809073023,5212127,+33.9210299,-084.8671693,PAULDING
13,291,00353193,13291,0500000US13291,Union,Union County,06,H1,G4020,NA,NA,NA,A,834191643,18088424,+34.8333330,-083.9892568,UNION
13,137,00351383,13137,0500000US13137,Habersham,Habersham County,06,H1,G4020,122,18460,NA,A,717081397,5672376,+34.6343924,-083.5258749,HABERSHAM
13,319,00346824,13319,0500000US13319,Wilkinson,Wilkinson County,06,H1,G4020,NA,NA,NA,A,1163481422,7063256,+32.8042663,-083.1755122,WILKINSON
13,053,00351012,13053,0500000US13053,Chattahoochee,Chattahoochee County,06,H6,G4020,194,17980,NA,C,644225832,6277089,+32.3474454,-084.7880206,CHATTAHOOCHEE
13,019,00326638,13019,0500000US13019,Berrien,Berrien County,06,H1,G4020,NA,NA,NA,A,1174239572,11671125,+31.2886522,-083.2278695,BERRIEN
13,141,00348209,13141,0500000US13141,Hancock,Hancock County,06,H1,G4020,NA,NA,NA,A,1220057416,17479620,+33.2692195,-083.0004653,HANCOCK
13,277,00344090,13277,0500000US13277,Tift,Tift County,06,H1,G4020,NA,45700,NA,A,675702322,20458292,+31.4570027,-083.5259307,TIFT
13,143,00350637,13143,0500000US13143,Haralson,Haralson County,06,H1,G4020,122,12060,31924,A,730804597,2616531,+33.7951646,-085.2200629,HARALSON
13,061,00344805,13061,0500000US13061,Clay,Clay County,06,H1,G4020,NA,NA,NA,A,506093893,56546964,+31.6198309,-084.9925826,CLAY
13,283,00347505,13283,0500000US13283,Treutlen,Treutlen County,06,H1,G4020,NA,NA,NA,A,516524094,7810908,+32.4095857,-082.5708819,TREUTLEN
13,037,00344074,13037,0500000US13037,Calhoun,Calhoun County,06,H1,G4020,NA,NA,NA,A,726191507,8271470,+31.5212790,-084.6262895,CALHOUN
13,099,00345041,13099,0500000US13099,Early,Early County,06,H1,G4020,NA,NA,NA,A,1327626624,9702714,+31.3241906,-084.9067225,EARLY
13,215,00357428,13215,0500000US13215,Muscogee,Muscogee County,06,H6,G4020,194,17980,NA,C,560731677,11683932,+32.5101909,-084.8749462,MUSCOGEE
13,081,00351607,13081,0500000US13081,Crisp,Crisp County,06,H1,G4020,NA,18380,NA,A,706237949,21408088,+31.9202675,-083.7565301,CRISP
13,059,01672699,13059,0500000US13059,Clarke,Clarke County,06,H6,G4020,122,12020,NA,C,308985565,4776726,+33.9521852,-083.3671522,CLARKE
13,023,00347451,13023,0500000US13023,Bleckley,Bleckley County,06,H1,G4020,NA,NA,NA,A,559122131,8425411,+32.4354034,-083.3317174,BLECKLEY
13,033,00347944,13033,0500000US13033,Burke,Burke County,06,H1,G4020,NA,12260,NA,A,2142029072,20565643,+33.0601805,-082.0001638,BURKE
13,159,00346144,13159,0500000US13159,Jasper,Jasper County,06,H1,G4020,122,12060,12054,A,954167639,13100767,+33.3169807,-083.6891515,JASPER
13,263,00326757,13263,0500000US13263,Talbot,Talbot County,06,H1,G4020,194,17980,NA,A,1013662779,8766848,+32.7046026,-084.5300288,TALBOT
13,167,00346664,13167,0500000US13167,Johnson,Johnson County,06,H1,G4020,NA,20140,NA,A,784815228,9256633,+32.6945842,-082.6639696,JOHNSON
13,225,00343153,13225,0500000US13225,Peach,Peach County,06,H1,G4020,356,47580,NA,A,389233786,2678497,+32.5713241,-083.8319779,PEACH
13,311,00326781,13311,0500000US13311,White,White County,06,H1,G4020,NA,NA,NA,A,623600283,3841608,+34.6441817,-083.7430004,WHITE
13,163,00345714,13163,0500000US13163,Jefferson,Jefferson County,06,H1,G4020,NA,NA,NA,A,1363771350,8059597,+33.0581756,-082.4200036,JEFFERSON
13,095,00351259,13095,0500000US13095,Dougherty,Dougherty County,06,H1,G4020,NA,10500,NA,A,851183382,15352851,+31.5325876,-084.2090400,DOUGHERTY
13,097,01686467,13097,0500000US13097,Douglas,Douglas County,06,H1,G4020,122,12060,12054,A,518350010,2379712,+33.7012421,-084.7673139,DOUGLAS
13,211,00346008,13211,0500000US13211,Morgan,Morgan County,06,H1,G4020,122,12060,12054,A,899791082,18672325,+33.5986493,-083.4994157,MORGAN
13,031,00350302,13031,0500000US13031,Bulloch,Bulloch County,06,H1,G4020,496,44340,NA,A,1750735216,32827781,+32.3944979,-081.7414492,BULLOCH
13,309,00351278,13309,0500000US13309,Wheeler,Wheeler County,06,H1,G4020,NA,NA,NA,A,765314382,12377032,+32.1052580,-082.7338492,WHEELER
13,109,00345923,13109,0500000US13109,Evans,Evans County,06,H1,G4020,496,44340,NA,A,473690212,10299805,+32.1530834,-081.8901530,EVANS
13,307,00352287,13307,0500000US13307,Webster,Webster County,06,H6,G4020,NA,NA,NA,C,543010089,2338844,+32.0466911,-084.5538279,WEBSTER
13,169,00345367,13169,0500000US13169,Jones,Jones County,06,H1,G4020,356,31420,NA,A,1020304153,3820256,+33.0216636,-083.5621958,JONES
13,135,01688166,13135,0500000US13135,Gwinnett,Gwinnett County,06,H1,G4020,122,12060,12054,A,1116612133,15692560,+33.9587564,-084.0257351,GWINNETT
13,321,00343365,13321,0500000US13321,Worth,Worth County,06,H1,G4020,NA,10500,NA,A,1478084027,10525364,+31.5517733,-083.8499598,WORTH
13,231,00346482,13231,0500000US13231,Pike,Pike County,06,H1,G4020,122,12060,12054,A,559660486,8595984,+33.0811487,-084.3894621,PIKE
13,259,00347360,13259,0500000US13259,Stewart,Stewart County,06,H1,G4020,194,17980,NA,A,1188198306,12553229,+32.0732250,-084.8349117,STEWART
13,011,00349230,13011,0500000US13011,Banks,Banks County,06,H1,G4020,NA,NA,NA,A,602578150,4635946,+34.3519216,-083.4984409,BANKS
13,105,00347828,13105,0500000US13105,Elbert,Elbert County,06,H1,G4020,NA,NA,NA,A,909352140,59863330,+34.1164153,-082.8418919,ELBERT
13,281,00351252,13281,0500000US13281,Towns,Towns County,06,H1,G4020,NA,NA,NA,A,431178090,13754198,+34.9025294,-083.7322645,TOWNS
13,093,00351608,13093,0500000US13093,Dooly,Dooly County,06,H1,G4020,NA,NA,NA,A,1016908643,12141885,+32.1519954,-083.8071670,DOOLY
13,235,00347593,13235,0500000US13235,Pulaski,Pulaski County,06,H1,G4020,NA,NA,NA,A,645583958,5046606,+32.2388026,-083.4818454,PULASKI
13,249,00344129,13249,0500000US13249,Schley,Schley County,06,H1,G4020,NA,11140,NA,A,432291202,2369649,+32.2634439,-084.3227083,SCHLEY
13,029,00350496,13029,0500000US13029,Bryan,Bryan County,06,H1,G4020,496,42340,NA,A,1133284239,43751265,+32.0179692,-081.4385431,BRYAN
13,185,00326720,13185,0500000US13185,Lowndes,Lowndes County,06,H1,G4020,NA,46660,NA,A,1287872477,34511663,+30.8331450,-083.2689952,LOWNDES
13,287,00343238,13287,0500000US13287,Turner,Turner County,06,H1,G4020,NA,45700,NA,A,739227758,11818093,+31.7248005,-083.6203195,TURNER
13,243,00352242,13243,0500000US13243,Randolph,Randolph County,06,H1,G4020,NA,NA,NA,A,1109126228,6830041,+31.7626510,-084.7523108,RANDOLPH
13,213,01688005,13213,0500000US13213,Murray,Murray County,06,H1,G4020,174,19140,NA,A,892235590,5719192,+34.7970974,-084.7379899,MURRAY
13,017,00351606,13017,0500000US13017,Ben Hill,Ben Hill County,06,H1,G4020,NA,22340,NA,A,647802704,9813798,+31.7407715,-083.1471970,BEN HILL
13,173,00348102,13173,0500000US13173,Lanier,Lanier County,06,H1,G4020,NA,46660,NA,A,509030779,8418857,+31.0381973,-083.0631635,LANIER
13,239,00350547,13239,0500000US13239,Quitman,Quitman County,06,H6,G4020,NA,21640,NA,C,391703077,24158295,+31.8629381,-085.0047978,QUITMAN
13,155,00352302,13155,0500000US13155,Irwin,Irwin County,06,H1,G4020,NA,NA,NA,A,917795237,21756147,+31.6043062,-083.2770374,IRWIN
13,269,00344156,13269,0500000US13269,Taylor,Taylor County,06,H1,G4020,NA,NA,NA,A,975613073,7801539,+32.5546668,-084.2514261,TAYLOR
13,209,00352276,13209,0500000US13209,Montgomery,Montgomery County,06,H1,G4020,NA,47080,NA,A,624563059,9191488,+32.1721081,-082.5333487,MONTGOMERY
13,133,00348672,13133,0500000US13133,Greene,Greene County,06,H1,G4020,NA,NA,NA,A,1003664492,48417220,+33.5767036,-083.1666253,GREENE
13,165,00342985,13165,0500000US13165,Jenkins,Jenkins County,06,H1,G4020,NA,NA,NA,A,899705945,13195935,+32.7945631,-081.9715244,JENKINS
13,149,00347067,13149,0500000US13149,Heard,Heard County,06,H1,G4020,122,12060,12054,A,766567353,13263789,+33.2913469,-085.1378862,HEARD
13,241,00351489,13241,0500000US13241,Rabun,Rabun County,06,H1,G4020,NA,NA,NA,A,958649647,17848176,+34.8839345,-083.4048701,RABUN
13,219,00356774,13219,0500000US13219,Oconee,Oconee County,06,H1,G4020,122,12020,NA,A,477461794,5246183,+33.8341247,-083.4377284,OCONEE
13,027,00345518,13027,0500000US13027,Brooks,Brooks County,06,H1,G4020,NA,46660,NA,A,1277341891,11955148,+30.8229337,-083.5819054,BROOKS
13,271,00356958,13271,0500000US13271,Telfair,Telfair County,06,H1,G4020,NA,NA,NA,A,1132621092,17356399,+31.9136406,-082.9310634,TELFAIR
13,201,00344088,13201,0500000US13201,Miller,Miller County,06,H1,G4020,NA,NA,NA,A,731471756,3211332,+31.1629309,-084.7303983,MILLER
13,067,01686112,13067,0500000US13067,Cobb,Cobb County,06,H1,G4020,122,12060,31924,A,879793162,12036674,+33.9399263,-084.5741102,COBB
13,253,00351263,13253,0500000US13253,Seminole,Seminole County,06,H1,G4020,NA,NA,NA,A,615253333,49223633,+30.9339599,-084.8676853,SEMINOLE
13,237,00347246,13237,0500000US13237,Putnam,Putnam County,06,H1,G4020,NA,NA,NA,A,892721735,41451860,+33.3210605,-083.3717898,PUTNAM
13,007,00342832,13007,0500000US13007,Baker,Baker County,06,H1,G4020,NA,NA,NA,A,885665382,18598653,+31.3195798,-084.4548812,BAKER
13,087,00352234,13087,0500000US13087,Decatur,Decatur County,06,H1,G4020,533,12460,NA,A,1546842847,67154652,+30.8806431,-084.5838902,DECATUR
13,205,00343645,13205,0500000US13205,Mitchell,Mitchell County,06,H1,G4020,NA,NA,NA,A,1326483082,4314212,+31.2289970,-084.1920380,MITCHELL
13,217,01673547,13217,0500000US13217,Newton,Newton County,06,H1,G4020,122,12060,12054,A,709175872,13946237,+33.5527507,-083.8513597,NEWTON
13,131,00351261,13131,0500000US13131,Grady,Grady County,06,H1,G4020,NA,45620,NA,A,1177052070,15026015,+30.8759004,-084.2449647,GRADY
13,021,01672039,13021,0500000US13021,Bibb,Bibb County,06,H6,G4020,356,31420,NA,C,645898854,14304451,+32.8089903,-083.6940595,BIBB
13,157,00349570,13157,0500000US13157,Jackson,Jackson County,06,H1,G4020,122,27600,NA,A,879812977,8784885,+34.1309052,-083.5625568,JACKSON
13,267,00347445,13267,0500000US13267,Tattnall,Tattnall County,06,H1,G4020,NA,NA,NA,A,1245369508,19447411,+32.0437683,-082.0592081,TATTNALL
13,317,00351265,13317,0500000US13317,Wilkes,Wilkes County,06,H1,G4020,NA,NA,NA,A,1216008875,11889477,+33.7790312,-082.7479211,WILKES
13,125,00345642,13125,0500000US13125,Glascock,Glascock County,06,H1,G4020,NA,NA,NA,A,372299252,1832723,+33.2274908,-082.6069126,GLASCOCK
13,035,00352295,13035,0500000US13035,Butts,Butts County,06,H1,G4020,122,12060,12054,A,475754795,11269640,+33.2903551,-083.9582206,BUTTS
13,187,00357196,13187,0500000US13187,Lumpkin,Lumpkin County,06,H1,G4020,122,12060,12054,A,732820611,3275560,+34.5681403,-083.9989251,LUMPKIN
13,083,00347465,13083,0500000US13083,Dade,Dade County,06,H1,G4020,174,16860,NA,A,450855119,488463,+34.8524237,-085.5062006,DADE
13,153,01671693,13153,0500000US13153,Houston,Houston County,06,H1,G4020,356,47580,NA,A,974236344,9708965,+32.4581466,-083.6623089,HOUSTON
13,191,00356886,13191,0500000US13191,McIntosh,McIntosh County,06,H1,G4020,NA,15260,NA,A,1117184399,369182273,+31.4856290,-081.3721413,MCINTOSH
13,207,00343073,13207,0500000US13207,Monroe,Monroe County,06,H1,G4020,356,31420,NA,A,1025872454,5643846,+33.0187844,-083.9218370,MONROE
13,009,00345255,13009,0500000US13009,Baldwin,Baldwin County,06,H1,G4020,NA,33300,NA,A,670028049,24803188,+33.0594897,-083.2554566,BALDWIN
13,177,00343390,13177,0500000US13177,Lee,Lee County,06,H1,G4020,NA,10500,NA,A,921632943,15408829,+31.8184185,-084.1466814,LEE
