dataset,field_name,field_type,missing_values,distinct_values
blueberries_production_raw,watershed_code,character,0,1
blueberries_production_raw,agg_level_desc,character,0,1
blueberries_production_raw,zip_5,logical,2279,1
blueberries_production_raw,class_desc,character,0,2
blueberries_production_raw,prodn_practice_desc,character,0,2
blueberries_production_raw,region_desc,logical,2279,1
blueberries_production_raw,state_fips_code,character,0,42
blueberries_production_raw,congr_district_code,logical,2279,1
blueberries_production_raw,load_time,POSIXct,0,22
blueberries_production_raw,asd_code,logical,2279,1
blueberries_production_raw,domain_desc,character,0,2
blueberries_production_raw,domaincat_desc,character,0,4
blueberries_production_raw,country_code,numeric,0,1
blueberries_production_raw,state_alpha,character,0,42
blueberries_production_raw,value,numeric,340,1471
blueberries_production_raw,util_practice_desc,character,0,6
blueberries_production_raw,cv_percent,character,1968,90
blueberries_production_raw,location_desc,character,0,42
blueberries_production_raw,end_code,character,0,1
blueberries_production_raw,country_name,character,0,1
blueberries_production_raw,state_name,character,0,42
blueberries_production_raw,freq_desc,character,0,1
blueberries_production_raw,reference_period_desc,character,0,1
blueberries_production_raw,source_desc,character,0,2
blueberries_production_raw,unit_desc,character,0,3
blueberries_production_raw,statisticcat_desc,character,0,1
blueberries_production_raw,sector_desc,character,0,1
blueberries_production_raw,county_code,logical,2279,1
blueberries_production_raw,commodity_desc,character,0,1
blueberries_production_raw,county_ansi,logical,2279,1
blueberries_production_raw,short_desc,character,0,26
blueberries_production_raw,asd_desc,logical,2279,1
blueberries_production_raw,county_name,logical,2279,1
blueberries_production_raw,group_desc,character,0,1
blueberries_production_raw,watershed_desc,logical,2279,1
blueberries_production_raw,year,numeric,0,19
blueberries_production_raw,state_ansi,character,59,42
blueberries_production_raw,begin_code,character,0,1
blueberries_production_raw,week_ending,logical,2279,1
blueberries_production_raw,value_num,numeric,340,1471
blueberries_production_raw,commodity,character,0,1
ga_blueberries_acreage_raw,location_desc,character,0,1
ga_blueberries_acreage_raw,short_desc,character,0,3
ga_blueberries_acreage_raw,state_ansi,numeric,0,1
ga_blueberries_acreage_raw,agg_level_desc,character,0,1
ga_blueberries_acreage_raw,congr_district_code,logical,27,1
ga_blueberries_acreage_raw,state_alpha,character,0,1
ga_blueberries_acreage_raw,prodn_practice_desc,character,0,1
ga_blueberries_acreage_raw,zip_5,logical,27,1
ga_blueberries_acreage_raw,reference_period_desc,character,0,1
ga_blueberries_acreage_raw,asd_code,logical,27,1
ga_blueberries_acreage_raw,state_fips_code,numeric,0,1
ga_blueberries_acreage_raw,sector_desc,character,0,1
ga_blueberries_acreage_raw,watershed_desc,logical,27,1
ga_blueberries_acreage_raw,util_practice_desc,character,0,1
ga_blueberries_acreage_raw,domaincat_desc,character,0,8
ga_blueberries_acreage_raw,group_desc,character,0,1
ga_blueberries_acreage_raw,country_name,character,0,1
ga_blueberries_acreage_raw,county_code,logical,27,1
ga_blueberries_acreage_raw,week_ending,logical,27,1
ga_blueberries_acreage_raw,asd_desc,logical,27,1
ga_blueberries_acreage_raw,watershed_code,character,0,1
ga_blueberries_acreage_raw,class_desc,character,0,3
ga_blueberries_acreage_raw,county_name,logical,27,1
ga_blueberries_acreage_raw,domain_desc,character,0,2
ga_blueberries_acreage_raw,country_code,numeric,0,1
ga_blueberries_acreage_raw,end_code,character,0,1
ga_blueberries_acreage_raw,cv_percent,character,0,20
ga_blueberries_acreage_raw,source_desc,character,0,1
ga_blueberries_acreage_raw,year,numeric,0,2
ga_blueberries_acreage_raw,county_ansi,logical,27,1
ga_blueberries_acreage_raw,value,numeric,0,23
ga_blueberries_acreage_raw,unit_desc,character,0,1
ga_blueberries_acreage_raw,freq_desc,character,0,1
ga_blueberries_acreage_raw,commodity_desc,character,0,1
ga_blueberries_acreage_raw,begin_code,character,0,1
ga_blueberries_acreage_raw,statisticcat_desc,character,0,1
ga_blueberries_acreage_raw,load_time,POSIXct,0,2
ga_blueberries_acreage_raw,region_desc,logical,27,1
ga_blueberries_acreage_raw,state_name,character,0,1
ga_blueberries_acreage_raw,value_num,numeric,0,23
ga_blueberries_acreage_raw,commodity,character,0,1
ga_blueberry_counties_raw,country_name,character,0,1
ga_blueberry_counties_raw,county_code,character,0,135
ga_blueberry_counties_raw,group_desc,character,0,1
ga_blueberry_counties_raw,domaincat_desc,character,0,1
ga_blueberry_counties_raw,util_practice_desc,character,0,1
ga_blueberry_counties_raw,sector_desc,character,0,1
ga_blueberry_counties_raw,watershed_desc,logical,135,1
ga_blueberry_counties_raw,state_fips_code,numeric,0,1
ga_blueberry_counties_raw,reference_period_desc,character,0,1
ga_blueberry_counties_raw,asd_code,numeric,0,9
ga_blueberry_counties_raw,zip_5,logical,135,1
ga_blueberry_counties_raw,state_alpha,character,0,1
ga_blueberry_counties_raw,prodn_practice_desc,character,0,1
ga_blueberry_counties_raw,congr_district_code,logical,135,1
ga_blueberry_counties_raw,state_ansi,numeric,0,1
ga_blueberry_counties_raw,agg_level_desc,character,0,1
ga_blueberry_counties_raw,short_desc,character,0,1
ga_blueberry_counties_raw,location_desc,character,0,135
ga_blueberry_counties_raw,state_name,character,0,1
ga_blueberry_counties_raw,statisticcat_desc,character,0,1
ga_blueberry_counties_raw,load_time,POSIXct,0,1
ga_blueberry_counties_raw,region_desc,logical,135,1
ga_blueberry_counties_raw,commodity_desc,character,0,1
ga_blueberry_counties_raw,begin_code,character,0,1
ga_blueberry_counties_raw,freq_desc,character,0,1
ga_blueberry_counties_raw,unit_desc,character,0,1
ga_blueberry_counties_raw,value,numeric,77,36
ga_blueberry_counties_raw,county_ansi,character,0,135
ga_blueberry_counties_raw,source_desc,character,0,1
ga_blueberry_counties_raw,year,numeric,0,1
ga_blueberry_counties_raw,cv_percent,character,0,2
ga_blueberry_counties_raw,end_code,character,0,1
ga_blueberry_counties_raw,country_code,numeric,0,1
ga_blueberry_counties_raw,domain_desc,character,0,1
ga_blueberry_counties_raw,county_name,character,0,135
ga_blueberry_counties_raw,watershed_code,character,0,1
ga_blueberry_counties_raw,class_desc,character,0,1
ga_blueberry_counties_raw,asd_desc,character,0,9
ga_blueberry_counties_raw,week_ending,logical,135,1
ga_blueberry_counties_raw,value_num,numeric,77,36
ga_blueberry_counties_raw,commodity,character,0,1
ga_peaches_acreage_raw,prodn_practice_desc,character,0,1
ga_peaches_acreage_raw,zip_5,logical,90,1
ga_peaches_acreage_raw,class_desc,character,0,3
ga_peaches_acreage_raw,watershed_code,character,0,1
ga_peaches_acreage_raw,agg_level_desc,character,0,1
ga_peaches_acreage_raw,congr_district_code,logical,90,1
ga_peaches_acreage_raw,state_fips_code,numeric,0,1
ga_peaches_acreage_raw,region_desc,logical,90,1
ga_peaches_acreage_raw,domain_desc,character,0,2
ga_peaches_acreage_raw,asd_code,logical,90,1
ga_peaches_acreage_raw,load_time,POSIXct,0,10
ga_peaches_acreage_raw,domaincat_desc,character,0,14
ga_peaches_acreage_raw,state_alpha,character,0,1
ga_peaches_acreage_raw,country_code,numeric,0,1
ga_peaches_acreage_raw,value,numeric,35,50
ga_peaches_acreage_raw,util_practice_desc,character,0,1
ga_peaches_acreage_raw,end_code,character,0,1
ga_peaches_acreage_raw,cv_percent,character,45,21
ga_peaches_acreage_raw,location_desc,character,0,1
ga_peaches_acreage_raw,freq_desc,character,0,1
ga_peaches_acreage_raw,country_name,character,0,1
ga_peaches_acreage_raw,state_name,character,0,1
ga_peaches_acreage_raw,statisticcat_desc,character,0,1
ga_peaches_acreage_raw,unit_desc,character,0,1
ga_peaches_acreage_raw,source_desc,character,0,2
ga_peaches_acreage_raw,reference_period_desc,character,0,1
ga_peaches_acreage_raw,sector_desc,character,0,1
ga_peaches_acreage_raw,county_ansi,logical,90,1
ga_peaches_acreage_raw,commodity_desc,character,0,1
