short_desc,unit_desc,class_desc,prodn_practice_desc,n,crop
"PEACHES - PRODUCTION, MEASURED IN TONS",TONS,ALL CLASSES,ALL PRODUCTION PRACTICES,434,PEACHES
"PEACHES, UTILIZED - PRODUCTION, MEASURED IN $",$,ALL CLASSES,ALL PRODUCTION PRACTICES,322,PEACHES
"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",TONS,ALL CLASSES,ALL PRODUCTION PRACTICES,322,PEACHES
"PEACHES, FRESH MARKET - PRODUCTION, MEASURED IN $",$,ALL CLASSES,ALL PRODUCTION PRACTICES,269,PEACHES
"PEACHES, FRESH MARKET - PRODUCTION, MEASURED IN TONS",TONS,ALL CLASSES,ALL PRODUCTION PRACTICES,268,PEACHES
"PEACHES, NOT SOLD - PRODUCTION, MEASURED IN TONS",TONS,ALL CLASSES,ALL PRODUCTION PRACTICES,256,PEACHES
"PEACHES, ORGANIC - PRODUCTION, MEASURED IN TONS",TONS,ALL CLASSES,ORGANIC,249,PEACHES
"PEACHES, PROCESSING - PRODUCTION, MEASURED IN $",$,ALL CLASSES,ALL PRODUCTION PRACTICES,208,PEACHES
"PEACHES, PROCESSING - PRODUCTION, MEASURED IN TONS",TONS,ALL CLASSES,ALL PRODUCTION PRACTICES,204,PEACHES
"PEACHES, NOT HARVESTED - PRODUCTION, MEASURED IN TONS",TONS,ALL CLASSES,ALL PRODUCTION PRACTICES,185,PEACHES
"PEACHES, CLINGSTONE - PRODUCTION, MEASURED IN TONS",TONS,CLINGSTONE,ALL PRODUCTION PRACTICES,38,PEACHES
"PEACHES, FREESTONE - PRODUCTION, MEASURED IN TONS",TONS,FREESTONE,ALL PRODUCTION PRACTICES,38,PEACHES
"PEACHES, FREESTONE, PROCESSING - PRODUCTION, MEASURED IN $",$,FREESTONE,ALL PRODUCTION PRACTICES,20,PEACHES
"PEACHES, CLINGSTONE, PROCESSING - PRODUCTION, MEASURED IN $",$,CLINGSTONE,ALL PRODUCTION PRACTICES,19,PEACHES
"PEACHES, CLINGSTONE, PROCESSING - PRODUCTION, MEASURED IN TONS",TONS,CLINGSTONE,ALL PRODUCTION PRACTICES,19,PEACHES
"PEACHES, CLINGSTONE, UTILIZED - PRODUCTION, MEASURED IN $",$,CLINGSTONE,ALL PRODUCTION PRACTICES,19,PEACHES
"PEACHES, CLINGSTONE, UTILIZED - PRODUCTION, MEASURED IN TONS",TONS,CLINGSTONE,ALL PRODUCTION PRACTICES,19,PEACHES
"PEACHES, FREESTONE, PROCESSING - PRODUCTION, MEASURED IN TONS",TONS,FREESTONE,ALL PRODUCTION PRACTICES,19,PEACHES
"PEACHES, FREESTONE, UTILIZED - PRODUCTION, MEASURED IN $",$,FREESTONE,ALL PRODUCTION PRACTICES,19,PEACHES
"PEACHES, FREESTONE, UTILIZED - PRODUCTION, MEASURED IN TONS",TONS,FREESTONE,ALL PRODUCTION PRACTICES,19,PEACHES
"PEACHES, FREESTONE, FRESH MARKET - PRODUCTION, MEASURED IN TONS",TONS,FREESTONE,ALL PRODUCTION PRACTICES,17,PEACHES
"PEACHES, CLINGSTONE, FRESH MARKET - PRODUCTION, MEASURED IN $",$,CLINGSTONE,ALL PRODUCTION PRACTICES,13,PEACHES
"PEACHES, CLINGSTONE, FRESH MARKET - PRODUCTION, MEASURED IN TONS",TONS,CLINGSTONE,ALL PRODUCTION PRACTICES,13,PEACHES
