year,crop,state_name,state_alpha,national_rank,production,unit_desc,national_total,pct_of_us
2007,Blueberries,CALIFORNIA,CA,5,16500000,LB,286780000,0.05753539298416905
2008,Blueberries,CALIFORNIA,CA,7,14000000,LB,348660000,0.04015373142889921
2009,Blueberries,CALIFORNIA,CA,7,24200000,LB,364900000,0.06631953959989038
2010,Blueberries,CALIFORNIA,CA,7,28000000,LB,410830000,0.06815471119441131
2011,Blueberries,CALIFORNIA,CA,6,42100000,LB,437000000,0.09633867276887872
2012,Blueberries,CALIFORNIA,CA,6,40900000,LB,455800000,0.08973233874506363
2013,Blueberries,CALIFORNIA,CA,6,51400000,LB,538570000,0.09543791893347198
2014,Blueberries,CALIFORNIA,CA,6,55200000,LB,565640000,0.09758857223675836
2015,Blueberries,CALIFORNIA,CA,5,63900000,LB,555320000,0.11506878916660664
2016,Blueberries,CALIFORNIA,CA,5,59700000,LB,588790000,0.10139438509485556
2017,Blueberries,CALIFORNIA,CA,4,62600000,LB,512740000,0.1220891679993759
2018,Blueberries,CALIFORNIA,CA,4,63470000,LB,569190000,0.11150933783095275
2019,Blueberries,CALIFORNIA,CA,5,71780000,LB,719580000,0.09975263348064149
2020,Blueberries,CALIFORNIA,CA,5,73030000,LB,668940000,0.10917272102131731
2021,Blueberries,CALIFORNIA,CA,4,82570000,LB,698170000,0.11826632482060243
2022,Blueberries,CALIFORNIA,CA,5,64110000,LB,671470000,0.09547708758395758
2023,Blueberries,CALIFORNIA,CA,5,64130000,LB,643910000,0.09959466385053811
2024,Blueberries,CALIFORNIA,CA,5,76910000,LB,789460000,0.09742102196438071
2025,Blueberries,CALIFORNIA,CA,4,81470000,LB,760550000,0.10711984747879824
2007,Blueberries,GEORGIA,GA,7,11000000,LB,286780000,0.0383569286561127
2008,Blueberries,GEORGIA,GA,4,41000000,LB,348660000,0.11759307061320484
2009,Blueberries,GEORGIA,GA,4,43000000,LB,364900000,0.1178405042477391
2010,Blueberries,GEORGIA,GA,2,58000000,LB,410830000,0.1411776160455663
2011,Blueberries,GEORGIA,GA,3,62000000,LB,437000000,0.14187643020594964
2012,Blueberries,GEORGIA,GA,4,64000000,LB,455800000,0.14041246160596754
2013,Blueberries,GEORGIA,GA,4,65550000,LB,538570000,0.12171119817293945
2014,Blueberries,GEORGIA,GA,3,92000000,LB,565640000,0.16264762039459726
2015,Blueberries,GEORGIA,GA,3,84000000,LB,555320000,0.15126413599366131
2016,Blueberries,GEORGIA,GA,4,70000000,LB,588790000,0.11888788872093616
2017,Blueberries,GEORGIA,GA,6,32810000,LB,512740000,0.06398954635877833
2018,Blueberries,GEORGIA,GA,5,60600000,LB,569190000,0.1064670848047225
