year,commodity,production_original_units,original_unit,production_lbs,national_rank,pct_of_us
2007,Blueberries,11000000,LB,11000000,7,0.0383569286561127
2008,Blueberries,41000000,LB,41000000,4,0.11759307061320484
2009,Blueberries,43000000,LB,43000000,4,0.1178405042477391
2010,Blueberries,58000000,LB,58000000,2,0.1411776160455663
2011,Blueberries,62000000,LB,62000000,3,0.14187643020594964
2012,Blueberries,64000000,LB,64000000,4,0.14041246160596754
2013,Blueberries,65550000,LB,65550000,4,0.12171119817293945
2014,Blueberries,92000000,LB,92000000,3,0.16264762039459726
2015,Blueberries,84000000,LB,84000000,3,0.15126413599366131
2016,Blueberries,70000000,LB,70000000,4,0.11888788872093616
2017,Blueberries,32810000,LB,32810000,6,0.06398954635877833
2018,Blueberries,60600000,LB,60600000,5,0.1064670848047225
2019,Blueberries,121260000,LB,121260000,3,0.16851496706412072
2020,Blueberries,81550000,LB,81550000,3,0.12190928932340718
2021,Blueberries,101390000,LB,101390000,3,0.14522251027686667
2022,Blueberries,69480000,LB,69480000,3,0.1034744664690902
2023,Blueberries,99060000,LB,99060000,3,0.15384137534748646
2024,Blueberries,135790000,LB,135790000,3,0.1720036480632331
2025,Blueberries,116720000,LB,116720000,3,0.1534678850831635
2007,Peaches,12000,TONS,24000000,6,0.010753699944887288
2008,Peaches,25000,TONS,50000000,4,0.022458182863508147
2009,Peaches,30000,TONS,60000000,4,0.027715674137580606
2010,Peaches,38500,TONS,77000000,3,0.034077732635846236
2011,Peaches,33600,TONS,67200000,3,0.03223516319051365
2012,Peaches,33100,TONS,66200000,3,0.03462741528837
2013,Peaches,34810,TONS,69620000,3,0.0391044068565831
2014,Peaches,33000,TONS,66000000,3,0.039383845701253244
2015,Peaches,33700,TONS,67400000,3,0.040947503356601724
2016,Peaches,39500,TONS,79000000,3,0.05095262051262206
2017,Peaches,9600,TONS,19200000,7,0.013828469361297571
2018,Peaches,21960,TONS,43920000,3,0.03400486226172595
2019,Peaches,31360,TONS,62720000,3,0.047128129602356406
2020,Peaches,28070,TONS,56140000,3,0.0434345309937177
2021,Peaches,26980,TONS,53960000,3,0.04002611043527282
2022,Peaches,21380,TONS,42760000,3,0.03379435706946969
2023,Peaches,4790,TONS,9580000,8,0.008281466113416321
2024,Peaches,33050,TONS,66100000,3,0.048523020906741834
2025,Peaches,31310,TONS,62620000,3,0.04572471705001825
