year,crop,state_name,state_alpha,national_rank,production,unit_desc,national_total,pct_of_us
2007,Peaches,CALIFORNIA,CA,1,949000,TONS,1115895,0.8504384373081697
2008,Peaches,CALIFORNIA,CA,1,859000,TONS,1113180,0.77166316319014
2009,Peaches,CALIFORNIA,CA,1,819000,TONS,1082420,0.7566379039559505
2010,Peaches,CALIFORNIA,CA,1,817000,TONS,1129770,0.7231560406100357
2011,Peaches,CALIFORNIA,CA,1,773000,TONS,1042340,0.741600629353186
2012,Peaches,CALIFORNIA,CA,1,713000,TONS,955890,0.7459017250938915
2013,Peaches,CALIFORNIA,CA,1,648000,TONS,890181,0.7279418455347845
2014,Peaches,CALIFORNIA,CA,1,620000,TONS,837907,0.739938919235667
2015,Peaches,CALIFORNIA,CA,1,604600,TONS,823005,0.7346249415252641
2016,Peaches,CALIFORNIA,CA,1,569000,TONS,775230,0.7339757233337203
2017,Peaches,CALIFORNIA,CA,1,550000,TONS,694220,0.7922560571576733
2018,Peaches,CALIFORNIA,CA,1,488530,TONS,645790,0.7564843060437604
2019,Peaches,CALIFORNIA,CA,1,507220,TONS,665420,0.7622554176309699
2020,Peaches,CALIFORNIA,CA,1,512620,TONS,646260,0.7932101630922539
2021,Peaches,CALIFORNIA,CA,1,514910,TONS,674060,0.7638934219505682
2022,Peaches,CALIFORNIA,CA,1,487540,TONS,632650,0.7706314707974393
2023,Peaches,CALIFORNIA,CA,1,474950,TONS,578400,0.8211445366528354
2024,Peaches,CALIFORNIA,CA,1,514990,TONS,681120,0.7560929058022081
2025,Peaches,CALIFORNIA,CA,1,527820,TONS,684750,0.7708214676889376
2007,Peaches,GEORGIA,GA,6,12000,TONS,1115895,0.010753699944887288
2008,Peaches,GEORGIA,GA,4,25000,TONS,1113180,0.022458182863508147
2009,Peaches,GEORGIA,GA,4,30000,TONS,1082420,0.027715674137580606
2010,Peaches,GEORGIA,GA,3,38500,TONS,1129770,0.034077732635846236
2011,Peaches,GEORGIA,GA,3,33600,TONS,1042340,0.03223516319051365
2012,Peaches,GEORGIA,GA,3,33100,TONS,955890,0.03462741528837
2013,Peaches,GEORGIA,GA,3,34810,TONS,890181,0.0391044068565831
2014,Peaches,GEORGIA,GA,3,33000,TONS,837907,0.039383845701253244
2015,Peaches,GEORGIA,GA,3,33700,TONS,823005,0.040947503356601724
2016,Peaches,GEORGIA,GA,3,39500,TONS,775230,0.05095262051262206
2017,Peaches,GEORGIA,GA,7,9600,TONS,694220,0.013828469361297571
2018,Peaches,GEORGIA,GA,3,21960,TONS,645790,0.03400486226172595
2019,Peaches,GEORGIA,GA,3,31360,TONS,665420,0.047128129602356406
2020,Peaches,GEORGIA,GA,3,28070,TONS,646260,0.0434345309937177
2021,Peaches,GEORGIA,GA,3,26980,TONS,674060,0.04002611043527282
2022,Peaches,GEORGIA,GA,3,21380,TONS,632650,0.03379435706946969
2023,Peaches,GEORGIA,GA,8,4790,TONS,578400,0.008281466113416321
2024,Peaches,GEORGIA,GA,3,33050,TONS,681120,0.048523020906741834
2025,Peaches,GEORGIA,GA,3,31310,TONS,684750,0.04572471705001825
2007,Peaches,MICHIGAN,MI,4,19100,TONS,1115895,0.017116305745612265
2008,Peaches,MICHIGAN,MI,7,13700,TONS,1113180,0.012307084209202465
2009,Peaches,MICHIGAN,MI,6,16700,TONS,1082420,0.015428391936586537
2010,Peaches,MICHIGAN,MI,7,13830,TONS,1129770,0.012241429671526062
2011,Peaches,MICHIGAN,MI,6,16400,TONS,1042340,0.015733829652512615
2012,Peaches,MICHIGAN,MI,20,1980,TONS,955890,0.0020713680444402597
2013,Peaches,MICHIGAN,MI,4,19790,TONS,890181,0.022231433831995964
2014,Peaches,MICHIGAN,MI,8,8440,TONS,837907,0.01007271690056295
2015,Peaches,MICHIGAN,MI,8,7080,TONS,823005,0.008602620883226712
2016,Peaches,MICHIGAN,MI,8,10900,TONS,775230,0.014060343381964062
2017,Peaches,MICHIGAN,MI,8,9500,TONS,694220,0.013684422805450722
2018,Peaches,MICHIGAN,MI,8,11440,TONS,645790,0.01771473698880441
2019,Peaches,MICHIGAN,MI,8,4600,TONS,665420,0.006912927173815034
2020,Peaches,MICHIGAN,MI,7,5750,TONS,646260,0.008897347816668214
2021,Peaches,MICHIGAN,MI,7,8040,TONS,674060,0.011927721567812955
2022,Peaches,MICHIGAN,MI,6,11160,TONS,632650,0.01764008535525172
2023,Peaches,MICHIGAN,MI,6,11220,TONS,578400,0.019398340248962656
2024,Peaches,MICHIGAN,MI,7,10310,TONS,681120,0.01513683345078694
