year,commodity,acres,commodity_label
2017,BLUEBERRIES,15680,Blueberries
2022,BLUEBERRIES,23434,Blueberries
2002,PEACHES,10861,Peaches
2007,PEACHES,9602,Peaches
2008,PEACHES,9500,Peaches
2009,PEACHES,10500,Peaches
2010,PEACHES,10800,Peaches
2011,PEACHES,10200,Peaches
2012,PEACHES,10500,Peaches
2013,PEACHES,11400,Peaches
2014,PEACHES,10900,Peaches
2015,PEACHES,10000,Peaches
2016,PEACHES,10000,Peaches
2017,PEACHES,10000,Peaches
2018,PEACHES,9400,Peaches
2019,PEACHES,7900,Peaches
2020,PEACHES,8300,Peaches
2021,PEACHES,7700,Peaches
2022,PEACHES,7300,Peaches
2023,PEACHES,7700,Peaches
2024,PEACHES,7300,Peaches
2025,PEACHES,7000,Peaches
