year,state_name,state_alpha,commodity,short_desc,production,unit_desc,rank,national_total,pct_of_us,commodity_label
2007,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",11000000,LB,7,286780000,0.0383569286561127,Blueberries
2008,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",41000000,LB,4,348660000,0.11759307061320484,Blueberries
2009,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",43000000,LB,4,364900000,0.1178405042477391,Blueberries
2010,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",58000000,LB,2,410830000,0.1411776160455663,Blueberries
2011,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",62000000,LB,3,437000000,0.14187643020594964,Blueberries
2012,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",64000000,LB,4,455800000,0.14041246160596754,Blueberries
2013,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",65550000,LB,4,538570000,0.12171119817293945,Blueberries
2014,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",92000000,LB,3,565640000,0.16264762039459726,Blueberries
2015,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",84000000,LB,3,555320000,0.15126413599366131,Blueberries
2016,GEORGIA,GA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",70000000,LB,4,588790000,0.11888788872093616,Blueberries
