year,state_name,state_alpha,commodity,short_desc,production,unit_desc,rank,national_total,pct_of_us
2023,OTHER STATES,OT,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",0,LB,9,643910000,0
2022,OTHER STATES,OT,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",0,LB,9,671470000,0
2015,ALABAMA,AL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",500000,LB,13,555320000,9.003817618670316e-4
2014,ALABAMA,AL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",520000,LB,12,565640000,9.193126370129411e-4
2013,ALABAMA,AL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",550000,LB,12,538570000,0.001021222867965167
2012,ALABAMA,AL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",700000,LB,12,455800000,0.00153576129881527
2011,ALABAMA,AL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",500000,LB,12,437000000,0.0011441647597254005
2010,ALABAMA,AL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",430000,LB,13,410830000,0.001046661636199888
2009,ALABAMA,AL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",300000,LB,13,364900000,8.22143052891203e-4
2008,ALABAMA,AL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",360000,LB,13,348660000,0.0010325245224574084
2007,ALABAMA,AL,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",410000,LB,12,286780000,0.001429667340818746
2015,ARKANSAS,AR,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",520000,LB,12,555320000,9.363970323417129e-4
2014,ARKANSAS,AR,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",490000,LB,13,565640000,8.662753694929637e-4
2013,ARKANSAS,AR,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",360000,LB,13,538570000,6.684367863044729e-4
2012,ARKANSAS,AR,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",400000,LB,13,455800000,8.775778850372971e-4
2011,ARKANSAS,AR,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",400000,LB,13,437000000,9.153318077803204e-4
2010,ARKANSAS,AR,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",650000,LB,12,410830000,0.0015821629384416911
2009,ARKANSAS,AR,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",500000,LB,12,364900000,0.0013702384214853384
2008,ARKANSAS,AR,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",800000,LB,12,348660000,0.002294498938794241
2007,ARKANSAS,AR,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",70000,LB,13,286780000,2.4408954599344445e-4
2025,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",81470000,LB,4,760550000,0.10711984747879824
2024,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",76910000,LB,5,789460000,0.09742102196438071
2023,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",64130000,LB,5,643910000,0.09959466385053811
2022,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",64110000,LB,5,671470000,0.09547708758395758
2021,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",82570000,LB,4,698170000,0.11826632482060243
2020,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",73030000,LB,5,668940000,0.10917272102131731
2019,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",71780000,LB,5,719580000,0.09975263348064149
2018,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",63470000,LB,4,569190000,0.11150933783095275
2017,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",62600000,LB,4,512740000,0.1220891679993759
2016,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",59700000,LB,5,588790000,0.10139438509485556
2015,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",63900000,LB,5,555320000,0.11506878916660664
2014,CALIFORNIA,CA,BLUEBERRIES,"BLUEBERRIES, TAME, UTILIZED - PRODUCTION, MEASURED IN LB",55200000,LB,6,565640000,0.09758857223675836
