year,state_name,state_alpha,commodity,short_desc,production,unit_desc,rank,national_total,pct_of_us
2023,OTHER STATES,OT,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",0,TONS,9,578400,0
2021,OTHER STATES,OT,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",0,TONS,9,674060,0
2017,ALABAMA,AL,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",1500,TONS,20,694220,0.0021606983377027455
2016,ALABAMA,AL,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",3270,TONS,14,775230,0.004218103014589219
2015,ALABAMA,AL,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",5520,TONS,12,823005,0.006707128146244555
2014,ALABAMA,AL,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",1900,TONS,19,837907,0.0022675547524963987
2013,ALABAMA,AL,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",3840,TONS,18,890181,0.004313729455020945
2012,ALABAMA,AL,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",3200,TONS,18,955890,0.0033476655263680968
2011,ALABAMA,AL,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",4800,TONS,17,1042340,0.0046050233129305215
2010,ALABAMA,AL,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",4500,TONS,17,1129770,0.003983111606787222
2009,ALABAMA,AL,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",3500,TONS,19,1082420,0.0032334953160510706
2008,ALABAMA,AL,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",6000,TONS,14,1113180,0.0053899638872419555
2007,ALABAMA,AL,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",2500,TONS,17,1115895,0.0022403541551848515
2015,ARKANSAS,AR,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",1070,TONS,23,823005,0.0013001136080582742
2014,ARKANSAS,AR,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",570,TONS,22,837907,6.802664257489196e-4
2013,ARKANSAS,AR,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",1130,TONS,23,890181,0.0012694047615035594
2012,ARKANSAS,AR,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",1510,TONS,21,955890,0.0015796796702549456
2011,ARKANSAS,AR,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",1100,TONS,22,1042340,0.001055317842546578
2010,ARKANSAS,AR,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",2010,TONS,21,1129770,0.0017791231843649591
2009,ARKANSAS,AR,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",930,TONS,23,1082420,8.591858982649988e-4
2008,ARKANSAS,AR,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",3880,TONS,20,1113180,0.0034855099804164645
2007,ARKANSAS,AR,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",10,TONS,27,1115895,8.961416620739407e-6
2025,CALIFORNIA,CA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",527820,TONS,1,684750,0.7708214676889376
2024,CALIFORNIA,CA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",514990,TONS,1,681120,0.7560929058022081
2023,CALIFORNIA,CA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",474950,TONS,1,578400,0.8211445366528354
2022,CALIFORNIA,CA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",487540,TONS,1,632650,0.7706314707974393
2021,CALIFORNIA,CA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",514910,TONS,1,674060,0.7638934219505682
2020,CALIFORNIA,CA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",512620,TONS,1,646260,0.7932101630922539
2019,CALIFORNIA,CA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",507220,TONS,1,665420,0.7622554176309699
2018,CALIFORNIA,CA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",488530,TONS,1,645790,0.7564843060437604
2017,CALIFORNIA,CA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",550000,TONS,1,694220,0.7922560571576733
2016,CALIFORNIA,CA,PEACHES,"PEACHES, UTILIZED - PRODUCTION, MEASURED IN TONS",569000,TONS,1,775230,0.7339757233337203
